"date","continent_name","max_stringency_index","max_country_name","min_stringency_index","min_country_name"
20220401,"Africa","56.48","Seychelles","11.11","Gabon"
20220401,"Asia","78.70","Myanmar","0.00","Mongolia"
20220401,"Europe","60.16","Ukraine","8.33","Andorra"
20220401,"North America","59.41","Dominica","8.33","Nicaragua"
20220401,"North America","59.41","Dominica","8.33","Dominican Republic"
20220401,"Oceania","85.19","Vanuatu","32.42","Fiji"
20220401,"South America","50.65","Suriname","14.82","Uruguay"
