"date","continent_name","max_stringency_index","max_country_name","min_stringency_index","min_country_name"
20210401,"Africa","96.30","Mauritius","8.33","Tanzania"
20210401,"Asia","85.19","Timor-Leste","16.67","Laos"
20210401,"Europe","87.96","Greece","36.57","Russia"
20210401,"North America","82.41","Honduras","13.89","Nicaragua"
20210401,"Oceania","62.04","Papua New Guinea","22.22","Kiribati"
20210401,"Oceania","62.04","Papua New Guinea","22.22","New Zealand"
20210401,"Oceania","62.04","Papua New Guinea","22.22","Vanuatu"
20210401,"South America","87.96","Venezuela","25.00","Bolivia"
